program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba20,.rdata,initialized,import-slot,1,1,read,4,005eba24,4,SR.DLL!?process@srClipPlane@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba24,.rdata,initialized,import-slot,1,1,read,4,005eba28,4,SR.DLL!?traverse@srClipPlane@@UAEXAAVTraverseInfo@srNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba28,.rdata,initialized,import-slot,1,1,read,4,005eba2c,4,SR.DLL!?vInstance@srClipPlane@@UAEPAVsrClass@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba2c,.rdata,initialized,import-slot,1,1,read,4,005eba30,4,SR.DLL!?dump@srClipPlane@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba30,.rdata,initialized,import-slot,2,2,read,4,005eba34,4,SR.DLL!??0srClipPlane@@QAE@PAVsrNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba34,.rdata,initialized,import-slot,1,1,read,4,005eba38,4,SR.DLL!?rotate@srNode@@QAEXNABV?$srVector3T@N@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba38,.rdata,initialized,import-slot,1,1,read,4,005eba3c,4,SR.DLL!??4srClipPlane@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba3c,.rdata,initialized,import-slot,1,1,read,4,005eba40,4,SR.DLL!??1srClipPlane@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba40,.rdata,initialized,import-slot,1,1,read,4,005eba44,4,SR.DLL!?relocateVertices@srMeshModel@@QAEXABV?$srVector3T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba44,.rdata,initialized,import-slot,1,1,read,4,005eba48,4,SR.DLL!?rotate@srNode@@QAEXABV?$srMatrix3T@N@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba48,.rdata,initialized,import-slot,2,1,read,4,005eba4c,4,SR.DLL!?setPolygonOffset@srGERD@@QAEXJ@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba4c,.rdata,initialized,import-slot,1,1,read,4,005eba50,4,SR.DLL!?getPolygonOffset@srGERD@@QBEJXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba50,.rdata,initialized,import-slot,1,1,read,4,005eba54,4,SR.DLL!?setProjectionType@srCamera@@QAEXW4e_project@1@@Z
