program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,004e6130,MoveMonsterToLiveList,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e61e0,FindNearestMonsterInfo,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6370,InitializeMonsterRuntimeStats,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e65d0,CalculateMonsterScale,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6780,GetMonsterCombatValue,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e67a0,TryStartMonsterCycle2,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e68c0,AnyMonsterDying,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6940,W8MonsterManagerState::~W8MonsterManagerState,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6970,W8MonsterManagerState::W8MonsterManagerState,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6a10,W8MonsterManagerEntry::~W8MonsterManagerEntry,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6a30,W8MonsterManagerEntry::W8MonsterManagerEntry,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e7090,StartCombat,fan-patch-oracle,strong,fan-patch-signature,external-semantic,,,
wiz8,004e76f0,EndMonsterTurn,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004e7ca0,AnyCharacterEngaged,wiz8-character-system,exact,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004e7e70,IsPartyEngaged,wiz8-character-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004e8290,SetSlotAction,wiz8-character-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004e82e0,DropCharacterFromRound,wiz8-character-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004ea310,EndCombat,wiz8-local-code,strong,descriptive,descriptive,,Local Code\Combat.cpp,
wiz8,004eb7f0,EndMonsterAttack,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004eb8c0,SetUpMonsterTurn,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004ebc80,CanCharReBreathe,wiz8-character-system,strong,original-runtime-string,string-backed,,Local Code\\Combat.cpp,
wiz8,004ec860,GetCharacterTurnValue,wiz8-character-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
wiz8,004ecaa0,NotifyNearbyMonsters,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\\Combat.cpp,
