program,module,table,class_name,enclosing_scope,subobject,table_rva,slot,target_rva,target_name,target_signature,resolution
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,10,0x33c90,?postProcess@srMaterial@@UAEXAAVsrVertexPipe@@@Z,public: virtual void __thiscall srMaterial::postProcess(class srVertexPipe &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,11,0x339b0,?updateParms@srMaterial@@MAEXXZ,protected: virtual void __thiscall srMaterial::updateParms(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,12,0x33f60,?reset@srMaterial@@MAEXXZ,protected: virtual void __thiscall srMaterial::reset(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,0,0x429a0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,1,0x42990,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,2,0x429b0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,3,0x3ee00,?dump@srMeshModel@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srMeshModel::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,4,0x40c40,?verify@srMeshModel@@UAEXW4e_verify@srRuntimeClass@@@Z,public: virtual void __thiscall srMeshModel::verify(enum srRuntimeClass::e_verify),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,5,0x425d0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,6,0x41b00,?vInstance@srMeshModel@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srMeshModel::vInstance(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,7,0x42a10,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,8,0x3fe90,?getBoundingSphere@srMeshModel@@UAEHAAV?$srVector3T@M@@AAM@Z,"public: virtual int __thiscall srMeshModel::getBoundingSphere(class srVector3T<float> &, float &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,9,0x3fe40,?getBoundingBox@srMeshModel@@UAEHAAV?$srVector3T@M@@0@Z,"public: virtual int __thiscall srMeshModel::getBoundingBox(class srVector3T<float> &, class srVector3T<float> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,10,0x3cea0,?render@srMeshModel@@UAEXAAVsrGERD@@@Z,public: virtual void __thiscall srMeshModel::render(class srGERD &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,11,0x3c440,?updateAllClients@srModel@@UAEXW4e_update@Client@1@@Z,public: virtual void __thiscall srModel::updateAllClients(enum srModel::Client::e_update),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,12,0x418c0,?reindexPolygons@srMeshModel@@UAEXPBK@Z,public: virtual void __thiscall srMeshModel::reindexPolygons(unsigned long const *),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,13,0x42230,?reindexVertices@srMeshModel@@UAEXPBK@Z,public: virtual void __thiscall srMeshModel::reindexVertices(unsigned long const *),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,14,0x3dc70,?getTriMesh@srMeshModel@@UAEABUTriMesh@1@XZ,public: virtual struct srMeshModel::TriMesh const & __thiscall srMeshModel::getTriMesh(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,15,0x3dac0,?getTriMesh@srMeshModel@@UAEXAAUTriMesh@1@@Z,public: virtual void __thiscall srMeshModel::getTriMesh(struct srMeshModel::TriMesh &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,16,0x3ca80,?renderTriMesh@srMeshModel@@UAEXAAVsrGERD@@ABUTriMesh@1@@Z,"public: virtual void __thiscall srMeshModel::renderTriMesh(class srGERD &, struct srMeshModel::TriMesh const &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,17,0x3dc90,?updateTriMesh@srMeshModel@@MAEXXZ,protected: virtual void __thiscall srMeshModel::updateTriMesh(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMeshModel@@6B@,srMeshModel,,,0x76d48,18,0x3e120,?calculateBounds@srMeshModel@@MAEXXZ,protected: virtual void __thiscall srMeshModel::calculateBounds(void),exported
