program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f91f8,.rdata,vftable,6,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9210,.rdata,vftable,5,code-reference-boundary,3,0x18,0,1,0,
wiz8--demo--wiz8--8acda50afe39,005f9224,.rdata,vftable,20,code-reference-boundary,3,0x0,0,0,0,0x348
wiz8--demo--wiz8--8acda50afe39,005f9280,.rdata,vftable,2,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9288,.rdata,vftable,2,code-reference-boundary,1,0x0,1,0,0,
wiz8--demo--wiz8--8acda50afe39,005f92c0,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f92c4,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9320,.rdata,vftable,8,code-reference-boundary,3,0x0,0,0,2,0x38
wiz8--demo--wiz8--8acda50afe39,005f9340,.rdata,vftable,1,code-reference-boundary,2,0x28,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9344,.rdata,vftable,1,code-reference-boundary,5,0x0 0x28,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9348,.rdata,vftable,1,code-reference-boundary,2,0x18,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f934c,.rdata,vftable,1,code-reference-boundary,5,0x0 0x18,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9350,.rdata,vftable,8,code-reference-boundary,4,0x0,1,0,2,0x38
wiz8--demo--wiz8--8acda50afe39,005f93b0,.rdata,vftable,3,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f93bc,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,5,0x148
wiz8--demo--wiz8--8acda50afe39,005f93f0,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x148
wiz8--demo--wiz8--8acda50afe39,005f9430,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f9434,.rdata,vftable,1,code-reference-boundary,5,0x0 0x64,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f959c,.rdata,vftable,3,code-reference-boundary,3,0x0,0,0,0,0x0|0x4c
wiz8--demo--wiz8--8acda50afe39,005f95a8,.rdata,vftable,1,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f95ac,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,
