program,site,function_start,object_offset,vtable,allocation_size
wiz8--demo--wiz8--8acda50afe39,005b8aaa,005b8a20,0x4,005f965c,
wiz8--demo--wiz8--8acda50afe39,005b8adc,005b8a20,0x0,005fb214,
wiz8--demo--wiz8--8acda50afe39,005b8ae3,005b8a20,0x4,005fb20c,
wiz8--demo--wiz8--8acda50afe39,005ba39a,005ba290,0x0,005fb214,
wiz8--demo--wiz8--8acda50afe39,005ba3a0,005ba290,0x4,005fb20c,
wiz8--demo--wiz8--8acda50afe39,005ba774,005ba290,0x0,005fb208,
wiz8--demo--wiz8--8acda50afe39,005ba797,005ba790,0x0,005fb208,
wiz8--demo--wiz8--8acda50afe39,005bbe72,005bbe30,0x0,005f965c,
wiz8--demo--wiz8--8acda50afe39,005bbe83,005bbe30,0x0,005fb268,
wiz8--demo--wiz8--8acda50afe39,005bbe89,005bbe30,0x0,005fb260,
wiz8--demo--wiz8--8acda50afe39,005bfe4e,005bfcc0,0x0,005fb288,
wiz8--demo--wiz8--8acda50afe39,005c29f3,005c2700,0x0,005fb2a0,
wiz8--demo--wiz8--8acda50afe39,005c502e,005c4fd0,0x0,005fb300,0x10
wiz8--demo--wiz8--8acda50afe39,005c5677,005c5670,0x0,005fb300,
wiz8--demo--wiz8--8acda50afe39,005c65f0,005c65b0,0x0,005f965c,
wiz8--demo--wiz8--8acda50afe39,005c65fd,005c65b0,0x0,005fb330,
wiz8--demo--wiz8--8acda50afe39,005c6603,005c65b0,0x0,005fb328,
wiz8--demo--wiz8--8acda50afe39,005c688d,005c6870,0x0,005fb330,
wiz8--demo--wiz8--8acda50afe39,005c6893,005c6870,0x4c,005fb328,
wiz8--demo--wiz8--8acda50afe39,005c6f1e,005c6ec0,0x0,005fa8a8,0x10
wiz8--demo--wiz8--8acda50afe39,005c744e,005c73a0,0x0,005fb350,
wiz8--demo--wiz8--8acda50afe39,005c7b0d,005c7af0,0x0,005fb354,
wiz8--demo--wiz8--8acda50afe39,005c7d87,005c7d60,0x4c,005fb00c,
wiz8--demo--wiz8--8acda50afe39,005c7d90,005c7d60,0x50,005fab50,
wiz8--demo--wiz8--8acda50afe39,005c7d9e,005c7d60,0x54,005fb3c8,
wiz8--demo--wiz8--8acda50afe39,005c7dbf,005c7d60,0x0,005fb3b8,
wiz8--demo--wiz8--8acda50afe39,005c7dc5,005c7d60,0x4c,005fb3b4,
wiz8--demo--wiz8--8acda50afe39,005c7dcc,005c7d60,0x50,005fb3b0,
wiz8--demo--wiz8--8acda50afe39,005c7dd3,005c7d60,0x54,005fb3a4,
wiz8--demo--wiz8--8acda50afe39,005c7e41,005c7d60,0x0,005fb354,
wiz8--demo--wiz8--8acda50afe39,005c7fad,005c7f90,0x0,005fb3b8,
wiz8--demo--wiz8--8acda50afe39,005c7fb3,005c7f90,0x4c,005fb3b4,
wiz8--demo--wiz8--8acda50afe39,005c7fba,005c7f90,0x50,005fb3b0,
wiz8--demo--wiz8--8acda50afe39,005c7fc1,005c7f90,0x54,005fb3a4,
wiz8--demo--wiz8--8acda50afe39,005c8345,005c82c0,0x0,005fb3d4,
wiz8--demo--wiz8--8acda50afe39,005c83dd,005c83c0,0x0,005fb3d4,
wiz8--demo--wiz8--8acda50afe39,005c86f5,005c8420,0x0,005fb00c,
wiz8--demo--wiz8--8acda50afe39,005c870c,005c8420,0x0,005fb428,
wiz8--demo--wiz8--8acda50afe39,005c8712,005c8420,0x0,005fb424,
wiz8--demo--wiz8--8acda50afe39,005c87fd,005c87e0,0x0,005fb428,
wiz8--demo--wiz8--8acda50afe39,005c8803,005c87e0,0x4c,005fb424,
wiz8--demo--wiz8--8acda50afe39,005c881b,005c87e0,0x60,005f9658,
wiz8--demo--wiz8--8acda50afe39,005c8899,005c8870,0x4c,005f965c,
wiz8--demo--wiz8--8acda50afe39,005c88ab,005c8870,0x0,005fb440,
wiz8--demo--wiz8--8acda50afe39,005c88b1,005c8870,0x4c,005fb438,
wiz8--demo--wiz8--8acda50afe39,005c899d,005c8980,0x0,005fb440,
wiz8--demo--wiz8--8acda50afe39,005c89a3,005c8980,0x4c,005fb438,
wiz8--demo--wiz8--8acda50afe39,005c9120,005c9100,0x0,005fb454,
wiz8--demo--wiz8--8acda50afe39,005c9126,005c9100,0x34,005fb450,
wiz8--demo--wiz8--8acda50afe39,005c93fb,005c93b0,0x7c,005fafc4,
wiz8--demo--wiz8--8acda50afe39,005c942c,005c93b0,0x7c,005fafc0,
wiz8--demo--wiz8--8acda50afe39,005c943f,005c93b0,0x0,005fb49c,
wiz8--demo--wiz8--8acda50afe39,005c967e,005c9660,0x0,005fb49c,
wiz8--demo--wiz8--8acda50afe39,005c96fc,005c9660,0x7c,005fafc4,
wiz8--demo--wiz8--8acda50afe39,005c970c,005c9660,0x60,005f9658,
wiz8--demo--wiz8--8acda50afe39,005ca005,005ca000,0x0,005fb4ac,
wiz8--demo--wiz8--8acda50afe39,005ca21e,005ca110,0x0,005fb4d0,
wiz8--demo--wiz8--8acda50afe39,005ca4f1,005ca110,0x34,005fab50,
wiz8--demo--wiz8--8acda50afe39,005ca50b,005ca110,0x0,005fb454,
wiz8--demo--wiz8--8acda50afe39,005ca511,005ca110,0x34,005fb450,
wiz8--demo--wiz8--8acda50afe39,005ca760,005ca740,0x0,005fb4d0,
wiz8--demo--wiz8--8acda50afe39,005ca778,005ca770,0x0,005fb4bc,
wiz8--demo--wiz8--8acda50afe39,005ca77e,005ca770,0x4,005fb4b8,
wiz8--demo--wiz8--8acda50afe39,005cc05d,005cbfc0,0x0,005fb4e0,0x24
wiz8--demo--wiz8--8acda50afe39,005cc132,005cbfc0,0x4,005fb4cc,
wiz8--demo--wiz8--8acda50afe39,005cc139,005cbfc0,0x8,005fb4c4,
wiz8--demo--wiz8--8acda50afe39,005cc14f,005cbfc0,0x4,005fb4b8,
wiz8--demo--wiz8--8acda50afe39,005cc744,005cc300,0x0,005fb350,
wiz8--demo--wiz8--8acda50afe39,005cc9d7,005cc9d0,0x0,005fb350,
wiz8--demo--wiz8--8acda50afe39,005cca2b,005cca20,0x0,005fb350,
wiz8--demo--wiz8--8acda50afe39,005cd6bb,005cd6a0,0x0,005fb520,
wiz8--demo--wiz8--8acda50afe39,005cd736,005cd730,0x0,005fb520,
wiz8--demo--wiz8--8acda50afe39,005cd7a9,005cd780,0x0,005f965c,
wiz8--demo--wiz8--8acda50afe39,005cd7bc,005cd780,0x0,005fb52c,
wiz8--demo--wiz8--8acda50afe39,005cd7c2,005cd780,0x0,005fb524,
wiz8--demo--wiz8--8acda50afe39,005cd9fd,005cd9e0,0x0,005fb52c,
wiz8--demo--wiz8--8acda50afe39,005cda03,005cd9e0,0x4c,005fb524,
wiz8--demo--wiz8--8acda50afe39,005d06c2,005d0680,0x70,005fb00c,
wiz8--demo--wiz8--8acda50afe39,005d06d4,005d0680,0x74,005f965c,
wiz8--demo--wiz8--8acda50afe39,005d070e,005d0680,0x0,005fb56c,
wiz8--demo--wiz8--8acda50afe39,005d0714,005d0680,0x70,005fb568,
wiz8--demo--wiz8--8acda50afe39,005d071b,005d0680,0x74,005fb560,
